,name,roaster,descriptor,price,weight,weight in g,weight in oz,location,roasternotes,blend_single,roastlevel,classification,flavornotes,extra
93,Homestead,Stumptown,"Homestead is a light, seasonal, and balanced cup blending Stumptown's finest Direct Trade coffees. Sweet & delicious, this is one to write home about.",15.0,12.0,340.1942774959533,12.0,"Portland, OR","Homestead is a light, seasonal, and balanced cup blending our finest Direct Trade coffees. Sweet and delicious, this is one to write home about.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Brown Sugar and Milk Chocolate,"['Process', 'Washed']"
94,Colombia Tolima Organic,DOMA,Notes of caramel and soft tropical sweetness make this one a super easy-drinking cup. We're finding notes of guava and clementine acidity in a silky-smooth body.,16.35,12.0,340.1942774959533,12.0,"Post Falls, ID","Caramel aromas, guava flavors, mandarin aftertastes, a balanced acidity, a silky body and a mild sweetness.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Colombia with hints of Sweet Vanilla and Tropical Fruit,"['Process', 'Washed', 'Sub Region', 'Tolima']"
95,Montecarlos Bourbon,Passenger,"When you experience this coffee, it’s clear why its producer calls it his life’s work. You’ll call it an everyday favorite: smooth, sweet and sippable.",16.25,10.0,283.4952312466278,10.0,"Lancaster, PA","Carlos Batres inherited Montecarlos in the mid 1980s. The fifth generation of his family to steward this land, Batres has made Montecarlos his life’s work. Montecarlos produces four varieties: Catuaí, Caturra, Bourbon and Pacamara. Browning sugar aromatics on the nose lead into a deeply sweet cup with flavors of red grape and clementine anchored by a bittering cocoa base. This is a deeply enjoyable daily drinker from a master coffee producer.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of El Salvador with hints of Brown Sugar and Milk Chocolate,"['Process', 'Washed', 'Sub Region', 'Apaneca', 'Producer', 'Carlos and Julie Batres', 'Harvest Time', 'January-March', 'Varietal', 'Bourbon', 'Elevation', '1600 - 1800']"
96,Espresso Novo,Novo,"Your daily grind: Balanced, just right. That’s this semi-sweet espresso in a nutshell. Take as a shot or brew as a coffee and go.",16.0,12.0,340.1942774959533,12.0,"Denver, CO","Espresso Novo is Novo Coffee's signature espresso. Our roaster focuses on finding the perfect balance of flavor using washed Colombian, washed Ethiopian, and natural Ethiopian coffees. This focus creates a medium-bodied espresso with caramel and blueberry notes that tastes great both as an espresso and as a cup of morning coffee.",Blends,Dark Roast,Deep & Rich,none,"['Process', 'Washed, Natural/Dry Processed', 'Harvest Time', 'February 2017']"
97,Black Cat Decaf Espresso,Intelligentsia,"Decaffeinated by water process and always ready to deliver sweet, silky smooth espresso. Great to enjoy on its own or as a rich base for your favorite drink.",17.0,12.0,340.1942774959533,12.0,"Chicago, IL","Decaffeinated by water process, this smooth espresso tastes predominantly of cocoa, with hints of sweet pipe tobacco, roasted walnut, and subtle dried fruit.",Blends,Medium-Dark Roast,Syrupy & Smooth,none,"['Process', 'Washed', 'Varietal', 'Bourbon']"
98,Ethiopia Yirgacheffe YirgZ,Passion House,"Careful sorting yields a clean, bright cup brimming with crisp acidity and bright sweetness.",18.0,12.0,340.1942774959533,12.0,"Chicago, IL","Clean, complex, and vibrant, this coffee's flavor profile showcases the best of what the famed Yirgacheffe region has to offer. Extra attention given to processing the coffee - mechanical sorting by size and density, then careful hand sorting for defects - shows in the cup, with flavors of white grape, citra hops, and elderflower.",Single Origins,Light Roast,Subtle & Delicate,"Complex with notes of Florals, Citrus and Sweet Vanilla","['Process', 'Washed', 'Sub Region', 'Yirgacheffe', 'Harvest Time', 'Nov-Jan 2017-18', 'Varietal', 'Heirloom', 'Elevation', '1900 - 2000']"
99,El Chaparral,Augie's,"With a solidly clean base, bright citric acidity and sweet nutty hazelnut notes, there's a little something for everyone in this killer blend.",15.0,12.0,340.1942774959533,12.0,"Redlands, CA","El Chaparral is a blend of coffees from two of our favorite regions to drink, Colombia and Guatemala. When brewed together as El Chaparral, you get a cup that is incredibly approachable for any palate. It tastes great as a filter coffee, as well as espresso. It tastes great black, as well as with milk.",Blends,Light-Medium Roast,Balanced & Fruity,"Hints of Citrus, Milk Chocolate and Nut","['Process', 'Washed', 'Varietal', 'Various', 'Elevation', '1500']"
100,Leftist Espresso,Gimme!,"The only agenda this coffee has is a sweet, balanced, rich and clean cup. There’s an issue we can all get behind.",16.0,12.0,340.1942774959533,12.0,"Ithaca, NY","Leftist is our signature espresso blend; our baristas pull shots of it every day in each of our cafes. While this mix of single-origin coffees is optimized for espresso, we've crafted it so it tells a story with any extraction method. We look for a sweet, balanced, complex and rich cup from Leftist, ideally with characteristics of ripe fruit, a wide range of long lasting sugars, and a depth of chocolate and spice ending with a clean finish.",Blends,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Peru with hints of Brown Sugar and Sweet Vanilla,"['Process', 'Washed', 'Varietal', 'Typica, Caturra, Pache, Bourbon, Catimor']"
101,Zamboni® Cold Brew,Dogwood,"Ice meets innovation in a coffee named for the hockey game-enabling wonder. Chill brings out the best in a cup of this smooth, sweet blend with a wild side.",16.0,12.0,340.1942774959533,12.0,"Minneapolis, MN","This cold brew takes its name from the famous Zamboni ice resurfacer. The Zamboni Company has a history of innovation in keeping cold things smooth. This blend is specifically sourced and roasted for the cold brew method. A natural process Brazil gives this blend a chocolate-toffee base, while the Ethiopian component contributes a higher noted, wild, fruity element.",Blends,Medium-Dark Roast,Balanced & Fruity,"Hints of Milk Chocolate, Brown Sugar and Berry Fruit","['Process', 'Natural/Dry Processed, Pulped Natural', 'Sub Region', 'Valle de Grama, Guji', 'Producer', 'Brazil: Carvalho Family, Ethiopia: Haile Gebre', 'Harvest Time', 'Brazil: April - September, Ethiopia: November - February', 'Varietal', 'Yellow Bourbon, Mixed Ethiopian Heirloom', 'Elevation', '950']"
102,East Coast,Panther,"Cream rises to the top of an espresso blend as multifaceted as its eponymous coast. Sweet, yet serious. Confident, yet comforting.",14.0,12.0,340.1942774959533,12.0,"Miami, FL","Very creamy espresso blend, notes of chocolate, sweet black cherry, ripe coffee fruit and sugarcane.",Blends,Medium-Dark Roast,Syrupy & Smooth,none,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Multiple']"
103,Southpaw Espresso,PT's,"Zero to 100. This signature espresso blend boasts a sweet-and-spicy flavor and clean finish. And just like that, you’re on your way.",16.0,12.0,340.1942774959533,12.0,"Topeka, KS","Our signature espresso blend. Jabs of fruit, sugar and spice with a floral aroma and clean finish. Featuring notes of caramel, peach and sugar cane, Southpaw delivers a delightful punch.",Blends,Light-Medium Roast,Syrupy & Smooth,none,"['Process', 'Washed', 'Varietal', 'Southpaw espresso is a bright and juicy blend that earns its name from being nimble, surprising, and packed with a punch. This shot is well balanced, achieving a complex and sweet flavor profile with enough body to punch through short milk drinks. Southpaw is designed to work well as a straight shot or in drinks 6 ounces and under, such as a cortado or macchiato.']"
104,Bird Rock Blend,Bird Rock,"Wake up on the right side of the cup. This blend is made for easy-drinking, using seasonal ingredients to appeal to just about everyone.",17.0,12.0,340.1942774959533,12.0,"San Diego, CA","Easy-drinking and perfect for the traditionalist, this crowd-pleasing blend is an easy introduction to our coffee at BRCR. Many of our other lots and blends will tend more towards the ""third wave"" style that lets acidity and complexity shine, but this blend uses seasonal ingredients in a way that is more appealing to a wider range of coffee lovers.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Roastiness and Milk Chocolate,"['Process', 'Washed, Wet-hulled', 'Varietal', 'Heirloom', 'Elevation', '1400']"
105,Decaf Colombia Aguacate,Ruby,"Bold berry and dark brown sugar sweetness hold together this smooth, full bodied brew. Stands up well to your milk of choice, but it's just as delicious black.",18.0,12.0,340.1942774959533,12.0,"Nelsonville, WI","We allocated a portion of our '16/17 Colombia Aguacate lot for decaffeination and the results are stunning! We're tasting loads of red fruits and molasses sweetness in the cup. This coffee has been decaffeinated using the naturally occurring ethyl acetate chemical, which is a byproduct of fermenting sugar cane and is commonly found in other fruits.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Colombia with hints of Berry Fruit and Milk Chocolate,"['Process', 'Washed', 'Sub Region', 'Sandoná, Nariño', 'Producer', '30 members of the “Asociación Creciendo con el Campo”', 'Harvest Time', 'May - July 2017', 'Varietal', 'Caturra', 'Elevation', '1700 - 2100']"
106,Colombia Santa Barbara,Atomic,"Approachable, versatile, and always has your back - your new best friend, or your new favorite coffee? (Why not both?)",14.0,12.0,340.1942774959533,12.0,"Salem, MA","A solid and tasty cup of Colombian coffee that is great black, mixed with milk or other non-dairy milks, and even as espresso; a real workhorse of a coffee. Robust flavors of milk chocolate and roasted peanut butter, accented with fruit and honey.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of Colombia with hints of Milk Chocolate and Nut,"['Process', 'Washed', 'Sub Region', 'Antioquia', 'Varietal', 'Colombia, Caturra', 'Elevation', '1400 - 2000']"
107,Mexico Chiapas GRAPOS,Anodyne,"Grown by a group of badass ladies, this coffee is an easy-drinking and well balanced morning treat. Subtly chocolatey with notes of almond and citrus, this one would pair just as well with a splash of milk as it would stand on its own.",16.45,16.0,453.59236999460444,16.0,"Milwaukee, WI","GRAPOS is a group of coffee producers in the state of Chiapas that consists of 3,253 member farmers. This lot is produced exclusively by women, who receive a premium for their contributions to the lot.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Mexico with hints of Sweet Vanilla and Nut,"['Process', 'Washed', 'Sub Region', 'Tapachula, Chiapas', 'Producer', 'Various Women Smallholders Members of Grapos', 'Harvest Time', 'December 2017', 'Varietal', 'Caturra, Catuai, Bourbon, Mundo Novo', 'Elevation', '900 - 1850']"
108,World's Best Espresso (WBC),Klatch,"Yes, there’s a reason they call it the world’s best: It won the world barista championships with its darkly-sweet, citrusy, syrupy cup.",15.95,12.0,340.1942774959533,12.0,"Rancho Cucamonga, CA",Named best espresso in the world at the world barista championships. It holds initial tastes of dark sweet chocolate and orange citrus and later gives a syrupy sweet taste of wine-like berry and spice.,Blends,Medium-Dark Roast,Syrupy & Smooth,none,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Various']"
109,Colombia San Roque,La Colombe,"Classically Colombian (read: sweet and complex but not showy about it), this drinkable cup gives coffee from the region a good name.",18.0,12.0,340.1942774959533,12.0,"Philadelphia, PA","Colombian coffee has long been loved throughout the world for its drinkability. This smooth, balanced coffee is our interpretation of the classic, popular Colombian style, with exceptional sweetness and subtle flavors of citrus, grape and cherry.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Colombia with hints of Milk Chocolate and Citrus,"['Process', 'Washed', 'Varietal', 'Arabica', 'Elevation', '1500 - 1700']"
110,Black Gold,Groundwork,"Yes, coffee can go too dark. That’s why we like this one: It goes to the brink of bold without sacrificing flavor. It’s dark, but shiny. Like, yes, black gold.",14.95,12.0,340.1942774959533,12.0,"Los Angeles, CA","We set out to develop a blend that was complex, bold and fully developed. Yet sweet fruitiness and nuttiness is lacking in many dark roasts. When we finally found the perfect formula, all we could say was, “That tastes like Black Gold.” Note the buttery, almost syrup-like body. This is our most popular blend.",Blends,Dark Roast,Roasty & Smoky,"Classic, nostalgic, comforting flavors","['Process', 'Natural/Dry Processed', 'Varietal', 'Arabica']"
111,Penrose v18,Blueprint,"Gorgeously balanced between full-throttle fruitiness and brown sugary sweetness, like a summer berry pie. Roasted with espresso in mind, but this beauty is delicious any way you brew it.",15.5,12.0,340.1942774959533,12.0,"St. Louis, MO","A blend of washed and natural coffees from the Ayutepeque farm in Santa Ana, El Salvador. This coffee was blended at the farm specifically for the espresso hopper according to our profile. In the cup, expect sweetness and round body – notes of graham, brown sugar, honeydew, and apple.",Blends,Light-Medium Roast,Syrupy & Smooth,none,"['Process', 'Washed, Natural/Dry Processed', 'Sub Region', 'Santa Ana', 'Producer', 'Emilio Lopez Diaz', 'Harvest Time', 'October 2017 – February 2018', 'Varietal', 'Pacas', 'Elevation', '1000']"
112,Ethiopia Yirgz,La Colombe,"Citrusy coffee lovers, this one’s for you. Direct from the region known most for citrus, this painstakingly quality-controlled coffee overachieves.",15.0,12.0,340.1942774959533,12.0,"Philadelphia, PA","Heirloom coffee varieties from the Yirgacheffe region of Ethiopia are known for their citrus flavors. Sweet and refined, this bright Ethiopian coffee will please the perfectionist in all of us.",Single Origins,Light-Medium Roast,Subtle & Delicate,"Complex with notes of Sweet Vanilla, Tropical Fruit and Ripe Fruit","['Process', 'Washed', 'Sub Region', 'Yirgacheffe', 'Varietal', 'Arabica', 'Elevation', '1850 - 2100']"
113,Kenya Kiunyu OT-18,Onyx,"A bold introduction to fresh crop Kenyan coffees. This one delivers juicy berry sweetness with a syrupy body and bright, clean acidity.",22.5,12.0,340.1942774959533,12.0,"Fayetteville, AR","Our fresh crop Kenya auctions have arrived! Kiunyu is the first release from the eight lots we purchased this year in Nairobi. We start with this arrogant, showy coffee from the Karithathi Cooperative. The Kiunyu AA tastes of brown sugar, vibrant blackberries, and fresh peach with a tactile of a juicy nectar. We really like bright and light Kenya coffees in the late summer heat.",Single Origins,Light-Medium Roast,Citrusy & Tart,"Acid forward with hints of Brown Sugar, Berry Fruit and Ripe Fruit","['Process', 'Washed', 'Sub Region', 'Nyeri', 'Producer', 'Kiunyu Factory', 'Varietal', 'SL-28, SL-34', 'Elevation', '1900 - 2000']"
114,Burundi Murambi,Novo,"Sweet and clean, with a refreshing citrus acidity that boosts its delicate floral notes.",17.0,12.0,340.1942774959533,12.0,"Denver, CO","Until recently a war-torn nation, Burundi has turned to producing coffee and the country's future has never been brighter.",Single Origins,Light-Medium Roast,Citrusy & Tart,"Acid forward with hints of Ripe Fruit, Citrus and Brown Sugar","['Process', 'Washed', 'Sub Region', 'Muyinga', 'Producer', 'Small Holders', 'Harvest Time', 'May-July 2017', 'Varietal', 'Bourbon', 'Elevation', '1400 - 1600']"
115,Ethiopia Bensa Shantawene,Onyx,"We're blown away by the peaches & cream sweetness in this smooth, silky cup of coffee. With prominent floral notes and a little tropical fruit twist on the finish, and we're already heating up the kettle for the next cup.",21.0,12.0,340.1942774959533,12.0,"Fayetteville, AR","Deep in the Sidama region of Ethiopia nestled in the foothills of the Bombe Mountains lies the small farming town of Shantawene. We don’t typically buy coffee from this region, but that will have to change after tasting this coffee. This sweet, perfumey coffee tastes of peach and cream soda upfront. A smooth, silky mouthfeel also stands out, making this one of our favorite surprise releases of the year. It also happens to be Certified Organic.",Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Sidama', 'Harvest Time', 'November through February', 'Varietal', 'Mikicho, Setami, Heirloom', 'Elevation', '2000 - 2300']"
116,"Yabitu Koba, Ethiopia",Revelator,"Clean, sweet, and super juicy, with notes of peach and clementine - the reason this one's so heavenly is it's grown at such a high elevation (over 2,300 meters above sea level!).",17.0,12.0,340.1942774959533,12.0,"Birmingham, AL","Super juicy and intensely sweet with fruit forward notes of ripe peach, nectarine, and mandarin orange.",Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Guji', 'Varietal', 'Heirloom', 'Elevation', 'null - 2300']"
117,Kenya Kihuyo AB,Elm,"Bright and bold, this blackberry-forward coffee is not for the timid. Vivid berry acidity meets deep brown sugary sweetness in a clean, crisp cup.",21.0,12.0,340.1942774959533,12.0,"Seattle, WA","This AB lot from the Kihuyo factory is bursting with juicy blackberry and currant flavors, rounded out with intense molasses sweetness. This factory in Nyeri County is part of the Mutheka Farmes Coop, along with Kamuyu and Kiandu, both of which we have purchased in the past.",Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Nyeri', 'Harvest Time', 'Spring 2018', 'Varietal', 'Sl 28, 34', 'Elevation', '1800']"
118,Ethiopia Dimtu,Blueprint,"Full, sticky, and lush, this natural brings loads of funky, fruity deliciousness to any morning routine. We're finding bold peachy notes and cherry acidity in a silky, chocolaty cup.",20.0,12.0,340.1942774959533,12.0,"St. Louis, MO","This relatively unknown station in the Hambela Woreda of Western Guji produces coffees as bright and colorful as the jungle and station. Red, yellow, and blue tarps cover the raised drying beds that stretch through the jungle. The coffee is sweet, fruity, and memorable.",Single Origins,Light Roast,Fruity & Crisp,"Packed with bold notes of Ripe Fruit, Citrus and Milk Chocolate","['Process', 'Natural/Dry Processed', 'Sub Region', 'Hambela', 'Harvest Time', 'November 2017 - January 2018', 'Varietal', 'Heirloom', 'Elevation', '2004 - 2004']"
119,Panama Ojo De Agua,Novo,"Light and clean, we're finding notes of honeydew melon and sweet cream in its delicate body.",16.5,12.0,340.1942774959533,12.0,"Denver, CO","Light and balanced, this coffee represents one of Novo’s longest standing producer relationships going back 12 years. This coffee never fails to disappoint and is an easy drinking delight.",Single Origins,Light Roast,Chocolaty & Sweet,A classic expression of Panama with hints of Sweet Vanilla and Ripe Fruit,"['Process', 'Washed', 'Sub Region', 'Chiriqui', 'Producer', 'Hartmann Family', 'Harvest Time', 'Jan 2018 - March 2018', 'Elevation', '1600']"
120,Vancouver Decaf,Verve,"Mellow out with an impressively complex coffee that sacrifices caffeine without abandoning flavor—rich, but sweet. A coffee lover’s decaf.",16.5,12.0,340.1942774959533,12.0,"Santa Cruz, CA","In this blend of Swiss Water Processed® coffees, Colombian and Brazilian components marry to yield a positively dessert-like cup that's structured enough for espresso yet nuanced enough for filter methods.",Blends,Light-Medium Roast,Balanced & Fruity,"Hints of Sweet Vanilla, Nut and Milk Chocolate","['Process', 'Washed', 'Sub Region', 'Various', 'Producer', 'Various', 'Harvest Time', 'December - April', 'Elevation', '1900']"
121,Kenya Gititu Peaberry,Verve,"Bright and sunshiny, with vivacious citrusy acidity and notes of ripe nectarines rounded out by a savory-sweetness like cherry tomatoes.",22.25,12.0,340.1942774959533,12.0,"Santa Cruz, CA","An impressive acidity makes way for a densely sweet coffee, with notes of candied orange and nectarine in this peaberry selection from Kenya.",Single Origins,Light-Medium Roast,Citrusy & Tart,"Acid forward with hints of Citrus, Ripe Fruit and Savoriness","['Process', 'Washed', 'Sub Region', 'Kiambu County', 'Producer', 'Gititu Farmers’ Cooperative Society', 'Harvest Time', 'October - December', 'Varietal', 'SL-28, SL-34, Ruiru 11', 'Elevation', '1400 - 1800']"
122,El Diablo Dark Roast,Intelligentsia,"Intelligentsia's signature dark roast emphasizes the savory side of coffee, highlighted by carmelized sugary sweetness and a satisfying, resonant finish.",15.0,12.0,340.1942774959533,12.0,"Chicago, IL","Our ­signature dark roast celebrates the savory side of coffees highlighted by caramelized sugars, molasses and chocolate flavors. We roast the coffee in a way that emphasizes these traits and creates a satisfying, resonant finish.",Blends,Medium-Dark Roast,Comforting & Rich,Nostalgic with hints of Milk Chocolate and Brown Sugar,"['Process', 'Washed']"
123,Montecarlos Pacamara,Passenger,"Taste it here first: the pacamara coffee variety, which packs a serious punch of flavor. This one comes on strong, but clean, with a sweet finish.",26.5,10.0,283.4952312466278,10.0,"Lancaster, PA","Carlos Batres inherited Montecarlos in the mid 1980s. The fifth generation of his family to steward this land, Batres has made Montecarlos his life’s work. The Pacamara variety has a unique flavor often described as umami. This meticulously crafted lot is incredibly clean with an exceptional sweetness and is replete with flavors of cocoa, raspberry and marzipan. Montecarlos Estate is the first coffee farm in the world to cultivate this unique variety.",Single Origins,Light-Medium Roast,Chocolaty & Sweet,A classic expression of El Salvador with hints of Brown Sugar and Ripe Fruit,"['Process', 'Washed', 'Sub Region', 'Apaneca', 'Producer', 'Carlos and Julie Batres', 'Harvest Time', 'February-March', 'Varietal', 'Pacamara', 'Elevation', '1600 - 1800']"
124,"Kiangoi AA, Kenya",Passenger,"Super vibrant, this lot from Kirinyaga region of Kenya presents bright tropical fruit and raspberry flavors and mouthwatering lime-like acidity. High sweetness and acidity, balanced and incredibly clean.",23.5,10.0,283.4952312466278,10.0,"Lancaster, PA","Located in Kirinyaga, near the Embu County border, Kiangoi is a factory that processes coffee for roughly 3,000 smallholder farmers. Making a comeback on the Passenger offering menu after a two-year long hiatus, our green buying team was thrilled to come across this lot while cupping in Nairobi this past winter.",Single Origins,Light Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Kirinyaga', 'Harvest Time', 'null December-February, 2016-2017', 'Varietal', 'SL28 and SL34', 'Elevation', '1650 - 1650']"
125,Burundi Kibingo,Passenger,"Berry brightness coming at you! Bold and juicy raspberry acidity shines in a fuller bodied, sticky-sweet nougat body.",20.25,10.0,283.4952312466278,10.0,"Lancaster, PA","At once subtle and complex, Kibingo is an extremely refined coffee. Nougat, caramel, sweet hay, black tea and raisin on the nose make way for a cup that has a saturated sweetness reminiscent of cane sugar. There is a lovely raspberry note in the cup, along with a slight pulpy citrus (think kumquat). As the cup cools a delicate lychee character makes itself known. This lot makes it clear why Kibingo was the 2017 winner of the prestigious Cup of Excellence.",Single Origins,Light Roast,Citrusy & Tart,"Acid forward with hints of Nut, Citrus and Tropical Fruit","['Process', 'Washed', 'Sub Region', 'Kayanza', 'Harvest Time', 'April-July 2017', 'Varietal', 'Heirloom Bourbon', 'Elevation', '1900 - 1900']"
126,Water Processed Decaf,Panther,"A creamy, caffeine-free coffee prepped with water for a balanced taste ready for your preferred preparation. As espresso or brew, it’s sweet as honey yet rich.",14.0,12.0,340.1942774959533,12.0,"Miami, FL","Water processed decaffeinated coffee, great for espresso and brewed preparations. Creamy body, notes of chocolate, red fruit and honey.",Single Origins,Medium Roast,Funky & Fruity,none,"['Process', 'Natural/Dry Processed', 'Sub Region', 'Guaxupé', 'Varietal', 'Red Catuaí']"
127,Tarrazu Vienna,George Howell,"Enjoy this classic cup of coffee from a master among roasters. Rich, bittersweet caramel with dark chocolate undertones make this one worth savoring.",14.0,12.0,340.1942774959533,12.0,"Boston, MA","Tarrazu is a land of small farmers in a tumultuous landscape of lush green peaks, some rising over 10,000 feet, and valleys. The climate has well defined seasons: the long dry season, from December to April, coincides perfectly with the coffee harvest, leading to very even, full ripening - ideal for preparing quality coffee. Rich, bittersweet caramel with dark chocolate undertones and a whisper of citrus.",Single Origins,Medium-Dark Roast,Chocolaty & Sweet,A classic expression of Costa Rica with hints of Milk Chocolate and Nut,"['Process', 'Washed', 'Sub Region', 'Tarrazu', 'Harvest Time', 'January 2018', 'Varietal', 'Caturra & Catuai', 'Elevation', '1190 - 1890']"
128,Nizza,La Colombe,"Nizza is named for Nice (as in, France). And it’s just nice (as in, nice): friendly, honey-sweet and approachable. A favorite.",13.0,12.0,340.1942774959533,12.0,"Philadelphia, PA","Nizza is a medium roast blend that hits at the heart of sweet. It’s named for the city of Nice, France, hometown of our co-founder JP and home to some of the best honey in the world. True to its name, this coffee exemplifies a honey-sweet, roasted nuttiness. It’s one of our longstanding favorites, and the coffee we use for espresso in all La Colombe cafes.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Nut and Brown Sugar,"['Process', 'Washed, Pulped Natural', 'Varietal', 'Arabica']"
129,"Monte Rey, El Salvador",Ritual,"Silky smooth, with a crisp Pink Lady Apple acidity and a brown sugary sweet finish.",17.0,12.0,340.1942774959533,12.0,"San Francisco, CA","This year’s harvest is a selection of pickings from the several tablons of the farm. The slightly higher elevation and unique microclimate here creates something extra spe-cial in this small lot oﬀering. Look for some crazy complexity in the cup, with ﬂavors ranging from exotic maramalades to s’mores!",Single Origins,Light-Medium Roast,Sweet & Tart,none,"['Process', 'Washed', 'Sub Region', 'Sonsonate', 'Producer', 'Nancy Majano de Arenivar', 'Harvest Time', 'Winter 2018']"
130,Trapper Creek Decaf,Stumptown,"The magic behind the organic Swiss Water decaf process means this sweet, directly sourced coffee from Stumptown offers unparalleled flavor and cup quality.",16.0,12.0,340.1942774959533,12.0,"Portland, OR","Finally, a decaf that holds its own. We count ourselves lucky to be one of the few companies in the world that sources our own supply of coffee to be decaffeinated. Recent updates to the organic Swiss Water decaf process have allowed for unparalleled flavor and cup quality.",Blends,Medium Roast,Sweet & Smooth,A traditional base with hints of Ripe Fruit and Brown Sugar,"['Process', 'Washed']"
131,9 Swans Seasonal Coffee,Elm,"Beautiful, with a little bite. Here’s an approachably smooth coffee that sneaks up on you, swan-like, with a kick of dry tartness.",17.0,12.0,340.1942774959533,12.0,"Seattle, WA","9 Swans is selected and roasted to be excellent prepared both as espresso or a more developed filter coffee. This coffee is a Caturrra and Colombia varietal lot from the Diogenes’ farm in Garzon, Huila, fermented without water for 22 hours and dried in parabolic driers. A round coffee with dark chocolate and cranberry flavors.",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Colombia with hints of Milk Chocolate and Berry Fruit,"['Process', 'Washed', 'Sub Region', 'Huila', 'Producer', 'Diogenes Polania', 'Harvest Time', 'June 2017', 'Varietal', 'Caturra, Colombia']"
132,Decaf Colombia,Boxcar,"Character is everything—and here, in this decaf made with the gentle sugar cane method, it’s untainted. Stays strong (if caffeine-free) in the cup.",12.25,300.0,300.0,10.582188585,"Boulder, CO","This coffee is from the Caldas region of Colombia. It is decaffeinated using the ethyl acetate, a naturally occurring compound and solvent derived through fermenting sugar cane. We like this process because it leaves the origin character more intact than other methods and requires less energy usage, as the processing is done in Colombia before transport to the U.S. ",Single Origins,Medium Roast,Chocolaty & Sweet,A classic expression of Colombia with hints of Milk Chocolate and Berry Fruit,"['Process', 'Washed', 'Sub Region', 'Caldas', 'Varietal', 'Caturra, Castillo, Colombia']"
133,Caffe Del Sol,Caffe Vita,"Here comes your next espresso favorite—this roaster’s flagship blend is smooth, rich and structured.",16.0,12.0,340.1942774959533,12.0,"Seattle, WA","Caffe Vita flagship espresso is a blend of coffees from Indonesia, Africa and Central/South America.",Blends,Medium Roast,Syrupy & Smooth,none,"['Process', 'Washed, Natural/Dry Processed', 'Varietal', 'Bourbon, Typica']"
134,Geometry Blend,Onyx,"Our love for coffee takes shape in this one, with angles you can measure: sweet, smooth, balanced.",16.0,12.0,340.1942774959533,12.0,"Fayetteville, AR","Geometry has been defined as ""describing spaces that lie beyond the normal range of human experience."" Soon it will also be defined as ""that coffee from Onyx that I am in love with and completely redefined my relationship with coffee.""",Blends,Medium Roast,Balanced & Fruity,"Hints of Berry Fruit, Citrus and Florals","['Process', 'Washed', 'Varietal', 'Caturra, Ethiopia Heirloom', 'Elevation', '1700']"
135,Brazil Matas de Minas,Temple,"A farm-to-cup favorite, this is the real (sustainable) deal. Crisp, sweet and clean in its growing and its brewing.",17.0,12.0,340.1942774959533,12.0,"Sacramento, CA",One of our sustainability strategies every year is to create a blend at origin and use it as a major offering in our Dharma Espresso Blend; it’s also high enough quality to stand on its own as a single-origin. We have worked with these farms for many years and we continue to come back year after year because of the sense of tranquility we receive from our old friends. This is a truly sustainable coffee from farm to cup.,Single Origins,Light-Medium Roast,Fruity & Crisp,"Packed with bold notes of Ripe Fruit, Citrus and Sweet Vanilla","['Process', 'Pulped Natural', 'Sub Region', 'Minas Gerais', 'Producer', 'Mixed', 'Varietal', 'Mixed', 'Elevation', '1200 - 1300']"
136,Three Pillars,Temple,"A blend of three favorite varieties, this cup is a total people-pleaser. Enjoy milk? Great. Prefer black? Also great. See what we mean.",16.5,12.0,340.1942774959533,12.0,"Sacramento, CA","Our House Blend is crafted to please the coffee lover in us all. Based on our Brazil Matas de Minas with acidity, and body from our Nicaragua Henry Marin and Costa Rica Sonora Estate this blend gives crisp, clean flavors perfect for a breakfast, lunch, or dinner coffee break. Enjoy it hot or cold, with or without cream and sugar. We have made this one to please everyone.",Blends,Medium-Dark Roast,Sweet & Smooth,A traditional base with hints of Brown Sugar and Milk Chocolate,"['Process', 'Pulped Natural, Honey', 'Sub Region', 'Minas Gerais, Nueva Segovia, Central Valley', 'Producer', 'Mixed, Henry Marin, Alberto Guardia', 'Varietal', 'Bourbon, Catuai', 'Elevation', '1200']"
