,name,blend_single,classification,price,weight,weight in g,weight in oz,flavornotes,descriptor,roaster,location,roastlevel,roasternotes,process,sub region,harvest time,elevation,producer,varietal
123,Black Cat Decaf Espresso,Blends,Syrupy & Smooth,17.0,12.0,340.1942774959533,12.0,none,"Decaffeinated by water process and always ready to deliver sweet, silky smooth espresso. Great to enjoy on its own or as a rich base for your favorite drink.",Intelligentsia,"Chicago, IL",Medium-Dark Roast,"Decaffeinated by water process, this smooth espresso tastes predominantly of cocoa, with hints of sweet pipe tobacco, roasted walnut, and subtle dried fruit.",Process Washed,,,,,Varietal Bourbon
124,Ethiopia Yirgacheffe YirgZ,Single Origins,Subtle & Delicate,18.0,12.0,340.1942774959533,12.0,"Complex with notes of Florals, Citrus and Sweet Vanilla","Careful sorting yields a clean, bright cup brimming with crisp acidity and bright sweetness.",Passion House,"Chicago, IL",Light Roast,"Clean, complex, and vibrant, this coffee's flavor profile showcases the best of what the famed Yirgacheffe region has to offer. Extra attention given to processing the coffee - mechanical sorting by size and density, then careful hand sorting for defects - shows in the cup, with flavors of white grape, citra hops, and elderflower.",Process Washed,Sub Region Yirgacheffe,Harvest Time Nov-Jan 2017-18,Elevation 1900 - 2000,,Varietal Heirloom
125,El Chaparral,Blends,Balanced & Fruity,15.0,12.0,340.1942774959533,12.0,"Hints of Citrus, Milk Chocolate and Nut","With a solidly clean base, bright citric acidity and sweet nutty hazelnut notes, there's a little something for everyone in this killer blend.",Augie's,"Redlands, CA",Light-Medium Roast,"El Chaparral is a blend of coffees from two of our favorite regions to drink, Colombia and Guatemala. When brewed together as El Chaparral, you get a cup that is incredibly approachable for any palate. It tastes great as a filter coffee, as well as espresso. It tastes great black, as well as with milk.",Process Washed,,,Elevation 1500,,Varietal Various
126,Leftist Espresso,Blends,Chocolaty & Sweet,16.0,12.0,340.1942774959533,12.0,A classic expression of Peru with hints of Brown Sugar and Sweet Vanilla,"The only agenda this coffee has is a sweet, balanced, rich and clean cup. There’s an issue we can all get behind.",Gimme!,"Ithaca, NY",Light-Medium Roast,"Leftist is our signature espresso blend; our baristas pull shots of it every day in each of our cafes. While this mix of single-origin coffees is optimized for espresso, we've crafted it so it tells a story with any extraction method. We look for a sweet, balanced, complex and rich cup from Leftist, ideally with characteristics of ripe fruit, a wide range of long lasting sugars, and a depth of chocolate and spice ending with a clean finish.",Process Washed,,,,,Varietal Typica Caturra Pache Bourbon Catimor
127,Zamboni® Cold Brew,Blends,Balanced & Fruity,16.0,12.0,340.1942774959533,12.0,"Hints of Milk Chocolate, Brown Sugar and Berry Fruit","Ice meets innovation in a coffee named for the hockey game-enabling wonder. Chill brings out the best in a cup of this smooth, sweet blend with a wild side.",Dogwood,"Minneapolis, MN",Medium-Dark Roast,"This cold brew takes its name from the famous Zamboni ice resurfacer. The Zamboni Company has a history of innovation in keeping cold things smooth. This blend is specifically sourced and roasted for the cold brew method. A natural process Brazil gives this blend a chocolate-toffee base, while the Ethiopian component contributes a higher noted, wild, fruity element.",Process Natural/Dry Processed Pulped Natural,Sub Region Valle de Grama Guji,,Elevation 950,"['Producer', 'Brazil:', 'Carvalho', 'Family', 'Ethiopia:', 'Haile', 'Gebre']",Varietal Yellow Bourbon Mixed Ethiopian Heirloom
128,East Coast,Blends,Syrupy & Smooth,14.0,12.0,340.1942774959533,12.0,none,"Cream rises to the top of an espresso blend as multifaceted as its eponymous coast. Sweet, yet serious. Confident, yet comforting.",Panther,"Miami, FL",Medium-Dark Roast,"Very creamy espresso blend, notes of chocolate, sweet black cherry, ripe coffee fruit and sugarcane.",Process Washed Natural/Dry Processed,,,,,Varietal Multiple
129,Southpaw Espresso,Blends,Syrupy & Smooth,16.0,12.0,340.1942774959533,12.0,none,"Zero to 100. This signature espresso blend boasts a sweet-and-spicy flavor and clean finish. And just like that, you’re on your way.",PT's,"Topeka, KS",Light-Medium Roast,"Our signature espresso blend. Jabs of fruit, sugar and spice with a floral aroma and clean finish. Featuring notes of caramel, peach and sugar cane, Southpaw delivers a delightful punch.",Process Washed,,,,,
130,Bird Rock Blend,Blends,Comforting & Rich,17.0,12.0,340.1942774959533,12.0,Nostalgic with hints of Roastiness and Milk Chocolate,"Wake up on the right side of the cup. This blend is made for easy-drinking, using seasonal ingredients to appeal to just about everyone.",Bird Rock,"San Diego, CA",Medium-Dark Roast,"Easy-drinking and perfect for the traditionalist, this crowd-pleasing blend is an easy introduction to our coffee at BRCR. Many of our other lots and blends will tend more towards the ""third wave"" style that lets acidity and complexity shine, but this blend uses seasonal ingredients in a way that is more appealing to a wider range of coffee lovers.",Process Washed Wet-hulled,,,Elevation 1400,,Varietal Heirloom
131,Decaf Colombia Aguacate,Single Origins,Chocolaty & Sweet,18.0,12.0,340.1942774959533,12.0,A classic expression of Colombia with hints of Berry Fruit and Milk Chocolate,"Bold berry and dark brown sugar sweetness hold together this smooth, full bodied brew. Stands up well to your milk of choice, but it's just as delicious black.",Ruby,"Nelsonville, WI",Medium Roast,"We allocated a portion of our '16/17 Colombia Aguacate lot for decaffeination and the results are stunning! We're tasting loads of red fruits and molasses sweetness in the cup. This coffee has been decaffeinated using the naturally occurring ethyl acetate chemical, which is a byproduct of fermenting sugar cane and is commonly found in other fruits.",Process Washed,Sub Region Sandoná Nariño,Harvest Time May - July 2017,Elevation 1700 - 2100,Producer 30 members of the “Asociación Creciendo con el Campo”,Varietal Caturra
132,Colombia Santa Barbara,Single Origins,Chocolaty & Sweet,14.0,12.0,340.1942774959533,12.0,A classic expression of Colombia with hints of Milk Chocolate and Nut,"Approachable, versatile, and always has your back - your new best friend, or your new favorite coffee? (Why not both?)",Atomic,"Salem, MA",Light-Medium Roast,"A solid and tasty cup of Colombian coffee that is great black, mixed with milk or other non-dairy milks, and even as espresso; a real workhorse of a coffee. Robust flavors of milk chocolate and roasted peanut butter, accented with fruit and honey.",Process Washed,Sub Region Antioquia,,Elevation 1400 - 2000,,Varietal Colombia Caturra
133,Mexico Chiapas GRAPOS,Single Origins,Chocolaty & Sweet,16.45,16.0,453.5923699946045,16.0,A classic expression of Mexico with hints of Sweet Vanilla and Nut,"Grown by a group of badass ladies, this coffee is an easy-drinking and well balanced morning treat. Subtly chocolatey with notes of almond and citrus, this one would pair just as well with a splash of milk as it would stand on its own.",Anodyne,"Milwaukee, WI",Medium Roast,"GRAPOS is a group of coffee producers in the state of Chiapas that consists of 3,253 member farmers. This lot is produced exclusively by women, who receive a premium for their contributions to the lot.",Process Washed,Sub Region Tapachula Chiapas,Harvest Time December 2017,Elevation 900 - 1850,Producer Various Women Smallholders Members of Grapos,Varietal Caturra Catuai Bourbon Mundo Novo
134,World's Best Espresso (WBC),Blends,Syrupy & Smooth,15.95,12.0,340.1942774959533,12.0,none,"Yes, there’s a reason they call it the world’s best: It won the world barista championships with its darkly-sweet, citrusy, syrupy cup.",Klatch,"Rancho Cucamonga, CA",Medium-Dark Roast,Named best espresso in the world at the world barista championships. It holds initial tastes of dark sweet chocolate and orange citrus and later gives a syrupy sweet taste of wine-like berry and spice.,Process Washed Natural/Dry Processed,,,,,Varietal Various
135,Colombia San Roque,Single Origins,Chocolaty & Sweet,18.0,12.0,340.1942774959533,12.0,A classic expression of Colombia with hints of Milk Chocolate and Citrus,"Classically Colombian (read: sweet and complex but not showy about it), this drinkable cup gives coffee from the region a good name.",La Colombe,"Philadelphia, PA",Medium Roast,"Colombian coffee has long been loved throughout the world for its drinkability. This smooth, balanced coffee is our interpretation of the classic, popular Colombian style, with exceptional sweetness and subtle flavors of citrus, grape and cherry.",Process Washed,,,Elevation 1500 - 1700,,Varietal Arabica
136,Black Gold,Blends,Roasty & Smoky,14.95,12.0,340.1942774959533,12.0,"Classic, nostalgic, comforting flavors","Yes, coffee can go too dark. That’s why we like this one: It goes to the brink of bold without sacrificing flavor. It’s dark, but shiny. Like, yes, black gold.",Groundwork,"Los Angeles, CA",Dark Roast,"We set out to develop a blend that was complex, bold and fully developed. Yet sweet fruitiness and nuttiness is lacking in many dark roasts. When we finally found the perfect formula, all we could say was, “That tastes like Black Gold.” Note the buttery, almost syrup-like body. This is our most popular blend.",Process Natural/Dry Processed,,,,,Varietal Arabica
137,Penrose v18,Blends,Syrupy & Smooth,15.5,12.0,340.1942774959533,12.0,none,"Gorgeously balanced between full-throttle fruitiness and brown sugary sweetness, like a summer berry pie. Roasted with espresso in mind, but this beauty is delicious any way you brew it.",Blueprint,"St. Louis, MO",Light-Medium Roast,"A blend of washed and natural coffees from the Ayutepeque farm in Santa Ana, El Salvador. This coffee was blended at the farm specifically for the espresso hopper according to our profile. In the cup, expect sweetness and round body – notes of graham, brown sugar, honeydew, and apple.",Process Washed Natural/Dry Processed,Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Elevation 1000,Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000,Varietal Pacas Elevation 1000
138,Ethiopia Yirgz,Single Origins,Subtle & Delicate,15.0,12.0,340.1942774959533,12.0,"Complex with notes of Sweet Vanilla, Tropical Fruit and Ripe Fruit","Citrusy coffee lovers, this one’s for you. Direct from the region known most for citrus, this painstakingly quality-controlled coffee overachieves.",La Colombe,"Philadelphia, PA",Light-Medium Roast,"Heirloom coffee varieties from the Yirgacheffe region of Ethiopia are known for their citrus flavors. Sweet and refined, this bright Ethiopian coffee will please the perfectionist in all of us.",Process Washed,Sub Region Yirgacheffe Varietal Arabica Elevation 1850 - 2100,,Elevation 1850 - 2100,,Varietal Arabica 
139,Kenya Kiunyu OT-18,Single Origins,Citrusy & Tart,22.5,12.0,340.1942774959533,12.0,"Acid forward with hints of Brown Sugar, Berry Fruit and Ripe Fruit","A bold introduction to fresh crop Kenyan coffees. This one delivers juicy berry sweetness with a syrupy body and bright, clean acidity.",Onyx,"Fayetteville, AR",Light-Medium Roast,"Our fresh crop Kenya auctions have arrived! Kiunyu is the first release from the eight lots we purchased this year in Nairobi. We start with this arrogant, showy coffee from the Karithathi Cooperative. The Kiunyu AA tastes of brown sugar, vibrant blackberries, and fresh peach with a tactile of a juicy nectar. We really like bright and light Kenya coffees in the late summer heat.",Process Washed,Sub Region Nyeri,,Elevation 1900 - 2000,Producer Kiunyu Factory,Varietal SL-28 SL-34
140,Burundi Murambi,Single Origins,Citrusy & Tart,17.0,12.0,340.1942774959533,12.0,"Acid forward with hints of Ripe Fruit, Citrus and Brown Sugar","Sweet and clean, with a refreshing citrus acidity that boosts its delicate floral notes.",Novo,"Denver, CO",Light-Medium Roast,"Until recently a war-torn nation, Burundi has turned to producing coffee and the country's future has never been brighter.",Process Washed,Sub Region Muyinga,Harvest Time May-July 2017,Elevation 1400 - 1600,Producer Small Holders,Varietal Bourbon
141,Ethiopia Bensa Shantawene,Single Origins,Sweet & Tart,21.0,12.0,340.1942774959533,12.0,none,"We're blown away by the peaches & cream sweetness in this smooth, silky cup of coffee. With prominent floral notes and a little tropical fruit twist on the finish, and we're already heating up the kettle for the next cup.",Onyx,"Fayetteville, AR",Light-Medium Roast,"Deep in the Sidama region of Ethiopia nestled in the foothills of the Bombe Mountains lies the small farming town of Shantawene. We don’t typically buy coffee from this region, but that will have to change after tasting this coffee. This sweet, perfumey coffee tastes of peach and cream soda upfront. A smooth, silky mouthfeel also stands out, making this one of our favorite surprise releases of the year. It also happens to be Certified Organic.",Process Washed,Sub Region Sidama ,Harvest Time November through February,Elevation 2000 - 2300,,Varietal Mikicho Setami Heirloom
142,"Yabitu Koba, Ethiopia",Single Origins,Sweet & Tart,17.0,12.0,340.1942774959533,12.0,none,"Clean, sweet, and super juicy, with notes of peach and clementine - the reason this one's so heavenly is it's grown at such a high elevation (over 2,300 meters above sea level!).",Revelator,"Birmingham, AL",Light-Medium Roast,"Super juicy and intensely sweet with fruit forward notes of ripe peach, nectarine, and mandarin orange.",Process Washed,Sub Region Guji,,Elevation null - 2300,,Varietal Heirloom
143,Kenya Kihuyo AB,Single Origins,Sweet & Tart,21.0,12.0,340.1942774959533,12.0,none,"Bright and bold, this blackberry-forward coffee is not for the timid. Vivid berry acidity meets deep brown sugary sweetness in a clean, crisp cup.",Elm,"Seattle, WA",Light-Medium Roast,"This AB lot from the Kihuyo factory is bursting with juicy blackberry and currant flavors, rounded out with intense molasses sweetness. This factory in Nyeri County is part of the Mutheka Farmes Coop, along with Kamuyu and Kiandu, both of which we have purchased in the past.",Process Washed,Sub Region Nyeri,Harvest Time Spring 2018,Elevation 1800,,Varietal Sl 28 34
144,Ethiopia Dimtu,Single Origins,Fruity & Crisp,20.0,12.0,340.1942774959533,12.0,"Packed with bold notes of Ripe Fruit, Citrus and Milk Chocolate","Full, sticky, and lush, this natural brings loads of funky, fruity deliciousness to any morning routine. We're finding bold peachy notes and cherry acidity in a silky, chocolaty cup.",Blueprint,"St. Louis, MO",Light Roast,"This relatively unknown station in the Hambela Woreda of Western Guji produces coffees as bright and colorful as the jungle and station. Red, yellow, and blue tarps cover the raised drying beds that stretch through the jungle. The coffee is sweet, fruity, and memorable.",Process Natural/Dry Processed,Sub Region Hambela,Harvest Time November 2017 - January 2018,Elevation 2004 - 2004,,Varietal Heirloom
145,Panama Ojo De Agua,Single Origins,Chocolaty & Sweet,16.5,12.0,340.1942774959533,12.0,A classic expression of Panama with hints of Sweet Vanilla and Ripe Fruit,"Light and clean, we're finding notes of honeydew melon and sweet cream in its delicate body.",Novo,"Denver, CO",Light Roast,"Light and balanced, this coffee represents one of Novo’s longest standing producer relationships going back 12 years. This coffee never fails to disappoint and is an easy drinking delight.",Process Washed,Sub Region Chiriqui,Harvest Time Jan 2018 - March 2018,Elevation 1600,Producer Hartmann Family,
146,Vancouver Decaf,Blends,Balanced & Fruity,16.5,12.0,340.1942774959533,12.0,"Hints of Sweet Vanilla, Nut and Milk Chocolate","Mellow out with an impressively complex coffee that sacrifices caffeine without abandoning flavor—rich, but sweet. A coffee lover’s decaf.",Verve,"Santa Cruz, CA",Light-Medium Roast,"In this blend of Swiss Water Processed® coffees, Colombian and Brazilian components marry to yield a positively dessert-like cup that's structured enough for espresso yet nuanced enough for filter methods.",Process Washed,Sub Region Various,Harvest Time December - April,Elevation 1900,Producer Various,
147,Kenya Gititu Peaberry,Single Origins,Citrusy & Tart,22.25,12.0,340.1942774959533,12.0,"Acid forward with hints of Citrus, Ripe Fruit and Savoriness","Bright and sunshiny, with vivacious citrusy acidity and notes of ripe nectarines rounded out by a savory-sweetness like cherry tomatoes.",Verve,"Santa Cruz, CA",Light-Medium Roast,"An impressive acidity makes way for a densely sweet coffee, with notes of candied orange and nectarine in this peaberry selection from Kenya.",Process Washed,Sub Region Kiambu County,Harvest Time October - December,Elevation 1400 - 1800,Producer Gititu Farmers’ Cooperative Society,Varietal SL-28 SL-34 Ruiru 11
148,El Diablo Dark Roast,Blends,Comforting & Rich,15.0,12.0,340.1942774959533,12.0,Nostalgic with hints of Milk Chocolate and Brown Sugar,"Intelligentsia's signature dark roast emphasizes the savory side of coffee, highlighted by carmelized sugary sweetness and a satisfying, resonant finish.",Intelligentsia,"Chicago, IL",Medium-Dark Roast,"Our ­signature dark roast celebrates the savory side of coffees highlighted by caramelized sugars, molasses and chocolate flavors. We roast the coffee in a way that emphasizes these traits and creates a satisfying, resonant finish.",Process Washed,,,,,
149,Montecarlos Pacamara,Single Origins,Chocolaty & Sweet,26.5,10.0,283.4952312466278,10.0,A classic expression of El Salvador with hints of Brown Sugar and Ripe Fruit,"Taste it here first: the pacamara coffee variety, which packs a serious punch of flavor. This one comes on strong, but clean, with a sweet finish.",Passenger,"Lancaster, PA",Light-Medium Roast,"Carlos Batres inherited Montecarlos in the mid 1980s. The fifth generation of his family to steward this land, Batres has made Montecarlos his life’s work. The Pacamara variety has a unique flavor often described as umami. This meticulously crafted lot is incredibly clean with an exceptional sweetness and is replete with flavors of cocoa, raspberry and marzipan. Montecarlos Estate is the first coffee farm in the world to cultivate this unique variety.",Process Washed,Sub Region Apaneca,Harvest Time February-March Varietal Pacamara,Elevation 1600 - 1800,Producer Carlos and Julie Batres,
150,"Kiangoi AA, Kenya",Single Origins,Sweet & Tart,23.5,10.0,283.4952312466278,10.0,none,"Super vibrant, this lot from Kirinyaga region of Kenya presents bright tropical fruit and raspberry flavors and mouthwatering lime-like acidity. High sweetness and acidity, balanced and incredibly clean.",Passenger,"Lancaster, PA",Light Roast,"Located in Kirinyaga, near the Embu County border, Kiangoi is a factory that processes coffee for roughly 3,000 smallholder farmers. Making a comeback on the Passenger offering menu after a two-year long hiatus, our green buying team was thrilled to come across this lot while cupping in Nairobi this past winter.",Process Washed,Sub Region Kirinyaga,Harvest Time null December-February 2016-2017,Elevation 1650 - 1650,,Varietal SL28 and SL34
151,Burundi Kibingo,Single Origins,Citrusy & Tart,20.25,10.0,283.4952312466278,10.0,"Acid forward with hints of Nut, Citrus and Tropical Fruit","Berry brightness coming at you! Bold and juicy raspberry acidity shines in a fuller bodied, sticky-sweet nougat body.",Passenger,"Lancaster, PA",Light Roast,"At once subtle and complex, Kibingo is an extremely refined coffee. Nougat, caramel, sweet hay, black tea and raisin on the nose make way for a cup that has a saturated sweetness reminiscent of cane sugar. There is a lovely raspberry note in the cup, along with a slight pulpy citrus (think kumquat). As the cup cools a delicate lychee character makes itself known. This lot makes it clear why Kibingo was the 2017 winner of the prestigious Cup of Excellence.",Process Washed,Sub Region Kayanza,Harvest Time April-July 2017,Elevation 1900 - 1900,,Varietal Heirloom Bourbon
152,Water Processed Decaf,Single Origins,Funky & Fruity,14.0,12.0,340.1942774959533,12.0,none,"A creamy, caffeine-free coffee prepped with water for a balanced taste ready for your preferred preparation. As espresso or brew, it’s sweet as honey yet rich.",Panther,"Miami, FL",Medium Roast,"Water processed decaffeinated coffee, great for espresso and brewed preparations. Creamy body, notes of chocolate, red fruit and honey.",Process Natural/Dry Processed,Sub Region Guaxupé ,,,,Varietal Red Catuaí
153,Tarrazu Vienna,Single Origins,Chocolaty & Sweet,14.0,12.0,340.1942774959533,12.0,A classic expression of Costa Rica with hints of Milk Chocolate and Nut,"Enjoy this classic cup of coffee from a master among roasters. Rich, bittersweet caramel with dark chocolate undertones make this one worth savoring.",George Howell,"Boston, MA",Medium-Dark Roast,"Tarrazu is a land of small farmers in a tumultuous landscape of lush green peaks, some rising over 10,000 feet, and valleys. The climate has well defined seasons: the long dry season, from December to April, coincides perfectly with the coffee harvest, leading to very even, full ripening - ideal for preparing quality coffee. Rich, bittersweet caramel with dark chocolate undertones and a whisper of citrus.",Process Washed,Sub Region Tarrazu,Harvest Time January 2018,Elevation 1190 - 1890,,Varietal Caturra & Catuai
154,Nizza,Blends,Sweet & Smooth,13.0,12.0,340.1942774959533,12.0,A traditional base with hints of Nut and Brown Sugar,"Nizza is named for Nice (as in, France). And it’s just nice (as in, nice): friendly, honey-sweet and approachable. A favorite.",La Colombe,"Philadelphia, PA",Medium Roast,"Nizza is a medium roast blend that hits at the heart of sweet. It’s named for the city of Nice, France, hometown of our co-founder JP and home to some of the best honey in the world. True to its name, this coffee exemplifies a honey-sweet, roasted nuttiness. It’s one of our longstanding favorites, and the coffee we use for espresso in all La Colombe cafes.",Process Washed Pulped Natural,,,,,Varietal Arabica
155,"Monte Rey, El Salvador",Single Origins,Sweet & Tart,17.0,12.0,340.1942774959533,12.0,none,"Silky smooth, with a crisp Pink Lady Apple acidity and a brown sugary sweet finish.",Ritual,"San Francisco, CA",Light-Medium Roast,"This year’s harvest is a selection of pickings from the several tablons of the farm. The slightly higher elevation and unique microclimate here creates something extra spe-cial in this small lot oﬀering. Look for some crazy complexity in the cup, with ﬂavors ranging from exotic maramalades to s’mores!",Process Washed,Sub Region Sonsonate,Harvest Time Winter 2018,,Producer Nancy Majano de Arenivar,
156,Trapper Creek Decaf,Blends,Sweet & Smooth,16.0,12.0,340.1942774959533,12.0,A traditional base with hints of Ripe Fruit and Brown Sugar,"The magic behind the organic Swiss Water decaf process means this sweet, directly sourced coffee from Stumptown offers unparalleled flavor and cup quality.",Stumptown,"Portland, OR",Medium Roast,"Finally, a decaf that holds its own. We count ourselves lucky to be one of the few companies in the world that sources our own supply of coffee to be decaffeinated. Recent updates to the organic Swiss Water decaf process have allowed for unparalleled flavor and cup quality.",Process Washed,,,,,
157,9 Swans Seasonal Coffee,Single Origins,Chocolaty & Sweet,17.0,12.0,340.1942774959533,12.0,A classic expression of Colombia with hints of Milk Chocolate and Berry Fruit,"Beautiful, with a little bite. Here’s an approachably smooth coffee that sneaks up on you, swan-like, with a kick of dry tartness.",Elm,"Seattle, WA",Medium Roast,"9 Swans is selected and roasted to be excellent prepared both as espresso or a more developed filter coffee. This coffee is a Caturrra and Colombia varietal lot from the Diogenes’ farm in Garzon, Huila, fermented without water for 22 hours and dried in parabolic driers. A round coffee with dark chocolate and cranberry flavors.",Process Washed,Sub Region Huila,Harvest Time June 2017,,Producer Diogenes Polania,Varietal Caturra Colombia
158,Decaf Colombia,Single Origins,Chocolaty & Sweet,12.25,300.0,300.0,10.582188585,A classic expression of Colombia with hints of Milk Chocolate and Berry Fruit,"Character is everything—and here, in this decaf made with the gentle sugar cane method, it’s untainted. Stays strong (if caffeine-free) in the cup.",Boxcar,"Boulder, CO",Medium Roast,"This coffee is from the Caldas region of Colombia. It is decaffeinated using the ethyl acetate, a naturally occurring compound and solvent derived through fermenting sugar cane. We like this process because it leaves the origin character more intact than other methods and requires less energy usage, as the processing is done in Colombia before transport to the U.S. ",Process Washed,Sub Region Caldas,,,,Varietal Caturra Castillo Colombia
159,Caffe Del Sol,Blends,Syrupy & Smooth,16.0,12.0,340.1942774959533,12.0,none,"Here comes your next espresso favorite—this roaster’s flagship blend is smooth, rich and structured.",Caffe Vita,"Seattle, WA",Medium Roast,"Caffe Vita flagship espresso is a blend of coffees from Indonesia, Africa and Central/South America.",Process Washed Natural/Dry Processed,,,,,Varietal Bourbon Typica
160,Geometry Blend,Blends,Balanced & Fruity,16.0,12.0,340.1942774959533,12.0,"Hints of Berry Fruit, Citrus and Florals","Our love for coffee takes shape in this one, with angles you can measure: sweet, smooth, balanced.",Onyx,"Fayetteville, AR",Medium Roast,"Geometry has been defined as ""describing spaces that lie beyond the normal range of human experience."" Soon it will also be defined as ""that coffee from Onyx that I am in love with and completely redefined my relationship with coffee.""",Process Washed,,,Elevation 1700,,Varietal Caturra Ethiopia Heirloom
161,Brazil Matas de Minas,Single Origins,Fruity & Crisp,17.0,12.0,340.1942774959533,12.0,"Packed with bold notes of Ripe Fruit, Citrus and Sweet Vanilla","A farm-to-cup favorite, this is the real (sustainable) deal. Crisp, sweet and clean in its growing and its brewing.",Temple,"Sacramento, CA",Light-Medium Roast,One of our sustainability strategies every year is to create a blend at origin and use it as a major offering in our Dharma Espresso Blend; it’s also high enough quality to stand on its own as a single-origin. We have worked with these farms for many years and we continue to come back year after year because of the sense of tranquility we receive from our old friends. This is a truly sustainable coffee from farm to cup.,Process Pulped Natural,Sub Region Minas Gerais,,Elevation 1200 - 1300,Producer Mixed,Varietal Mixed
165,Three Pillars,Blends,Sweet & Smooth,16.5,12.0,340.1942774959533,12.0,A traditional base with hints of Brown Sugar and Milk Chocolate,"A blend of three favorite varieties, this cup is a total people-pleaser. Enjoy milk? Great. Prefer black? Also great. See what we mean.",Temple,"Sacramento, CA",Medium-Dark Roast,"Our House Blend is crafted to please the coffee lover in us all. Based on our Brazil Matas de Minas with acidity, and body from our Nicaragua Henry Marin and Costa Rica Sonora Estate this blend gives crisp, clean flavors perfect for a breakfast, lunch, or dinner coffee break. Enjoy it hot or cold, with or without cream and sugar. We have made this one to please everyone.",Process Pulped Natural,Sub Region Minas Gerais Nueva Segovia Central Valley,,Elevation 1200,Producer Mixed Henry Marin Alberto Guardia,Varietal Bourbon Catuai 
166,Three Pillars,Blends,Sweet & Smooth,16.5,12.0,340.1942774959533,12.0,A traditional base with hints of Brown Sugar and Milk Chocolate,"A blend of three favorite varieties, this cup is a total people-pleaser. Enjoy milk? Great. Prefer black? Also great. See what we mean.",Temple,"Sacramento, CA",Medium-Dark Roast,"Our House Blend is crafted to please the coffee lover in us all. Based on our Brazil Matas de Minas with acidity, and body from our Nicaragua Henry Marin and Costa Rica Sonora Estate this blend gives crisp, clean flavors perfect for a breakfast, lunch, or dinner coffee break. Enjoy it hot or cold, with or without cream and sugar. We have made this one to please everyone.",Process Pulped Natural,Sub Region Minas Gerais Nueva Segovia Central Valley,,Elevation 1200,Producer Mixed Henry Marin Alberto Guardia,Varietal Bourbon Catuai
169,"Batak, Sumatra",Single Origins,Bittersweet & Heavy,19.0,12.0,340.1942774959533,12.0,none,Rustic cherry and herbal flavors with a strong finish epitomize the essence of Sumatra with this remarkable example of a storied growing region.,Highwire,"Oakland, CA",Dark Roast,"Classic Sumatra character, this Rustic Charmer has a potent musty aroma; dense body, rustic cherry and herbal flavor with a strong finish. Grown and processed in the Lintong region near Lake Toba, ""Batak"" refers to the ethnic group and indigenous culture in the northern part of the Indonesian island of Sumatra.",Process Washed Wet-hulled,,,,,Varietal Arabica
173,Limmu Kossa Estate Natural Ethiopia,Single Origins,Fruity & Crisp,16.95,10.0,283.4952312466278,10.0,"Packed with bold notes of Ripe Fruit, Sweet Vanilla and Florals","Naturally processed for bonus peachy sweetness, this coffee sings. Drink it with your pinky out.",Sterling,"Portland, OR",Light-Medium Roast,"Limmu Kossa Estate is a family owned farm in the Jimma zone in the Southwest Ethiopian highlands. We are proud to present this beautiful example of natural process coffee (cherry left on for drying). Super clean, it exudes a bouquet of floral aromatics and bursts on the palate with lush peaches and clover honey.",Process Natural/Dry Processed,Sub Region Jimma,,Elevation 1800 - 2100,,Varietal Heirloom
174,Mexico Alturas,Single Origins,Chocolaty & Sweet,14.95,12.0,340.1942774959533,12.0,A classic expression of Mexico with hints of Brown Sugar and Milk Chocolate,"Approachable and balanced with brown sugar sweetness and citrusy acidity, this is a classic example of delicious Mexican coffee.",Groundwork,"Los Angeles, CA",Light Roast,"This coffee has all of the notes of a good, classic coffee from Mexico: creamy texture, brown sugar, bittersweet chocolate, tamarind, and a hint of lemon. Thanks to our partners at InterAmerican Coffee for suggesting it and helping Groundwork to bring Organic Mexico to our homes and cafes.",Process Washed,,,,,Varietal Bourbon Caturra Catuai
175,"Serra Negra, Brazil",Single Origins,Funky & Fruity,14.0,12.0,340.1942774959533,12.0,none,"This one’s a workhorse: reliable and ready for anything. A Brazilian blend that works hard for its payoff: silky, citrusy, nutty flavor.",Quills,"Louisville, KY",Medium-Dark Roast,"This coffee is milled at a state-of-the-art processing facility in Pocos de Caldas, which results in much better green prep than most standard Brazilian coffee. This coffee is usually a blend from South Minas, and at times also includes coffee from Cerrado and Matas de Minas. This is a great workhorse Brazilian coffee, with notes of milk chocolate, mild citrus and clean nuts.",Process Pulped Natural,Sub Region South Minas,,,,Varietal Bourbon Typica Catuai
176,FTO Espresso,Blends,Syrupy & Smooth,14.95,12.0,340.1942774959533,12.0,none,"A blend of the best from Indonesia, Africa, Central and South America, this couldn’t possibly go wrong. And it’s impossibly good: mellow, sweet and clean.",Klatch,"Rancho Cucamonga, CA",Medium-Dark Roast,"When you have a numerous exceptional fair trade coffees at your fingertips, you can’t help yourself with the possibilities in creating a delicious espresso. FTO Klatch House is a remarkable blend of Indonesian, African, Central and South American coffees. This espresso has a great taste and clean finish. It is super sweet with hints of walnut, molasses and toasted marshmallow.",Process Washed,,,,,Varietal Various
